subset,eff,density,n,spearman,spearman_p,pearson,pearson_p
all,eff_raw,n,12,0.039,0.905,-0.465,0.128
all,eff_raw,d,12,0.141,0.663,-0.112,0.729
all,eff_raw,spread,12,0.319,0.313,0.184,0.568
all,eff_raw,nn1_mean,12,0.123,0.704,0.147,0.649
all,eff_raw,knn5_mean,12,0.004,0.991,0.167,0.604
all,eff_raw,knn5_median,12,0.137,0.672,0.194,0.545
all,eff_raw,het_global_cv,12,-0.431,0.162,0.032,0.921
all,eff_raw,knn_cv_mean,12,0.13,0.688,0.166,0.607
all,eff_raw,norm_entropy,12,0.277,0.384,0.302,0.34
all,eff_raw,min_pairwise,12,-0.004,0.991,0.132,0.683
all,eff_raw,spc_err_strength,12,-0.287,0.366,-0.504,0.095
all,eff_raw,spc_err_nn_k1,12,-0.34,0.28,-0.722,0.008
all,eff_raw,var_err_strength,12,-0.503,0.095,-0.494,0.102
all,eff_raw_median,n,12,0.039,0.905,-0.465,0.128
all,eff_raw_median,d,12,0.141,0.663,-0.112,0.729
all,eff_raw_median,spread,12,0.319,0.313,0.184,0.568
all,eff_raw_median,nn1_mean,12,0.123,0.704,0.147,0.649
all,eff_raw_median,knn5_mean,12,0.004,0.991,0.167,0.604
all,eff_raw_median,knn5_median,12,0.137,0.672,0.194,0.545
all,eff_raw_median,het_global_cv,12,-0.431,0.162,0.032,0.921
all,eff_raw_median,knn_cv_mean,12,0.13,0.688,0.166,0.607
all,eff_raw_median,norm_entropy,12,0.277,0.384,0.302,0.34
all,eff_raw_median,min_pairwise,12,-0.004,0.991,0.132,0.683
all,eff_raw_median,spc_err_strength,12,-0.287,0.366,-0.504,0.095
all,eff_raw_median,spc_err_nn_k1,12,-0.34,0.28,-0.722,0.008
all,eff_raw_median,var_err_strength,12,-0.503,0.095,-0.494,0.102
all,eff_norm,n,12,0.392,0.207,0.215,0.502
all,eff_norm,d,12,0.018,0.957,-0.075,0.816
all,eff_norm,spread,12,-0.07,0.829,-0.134,0.679
all,eff_norm,nn1_mean,12,-0.413,0.182,-0.355,0.258
all,eff_norm,knn5_mean,12,-0.581,0.047,-0.347,0.269
all,eff_norm,knn5_median,12,-0.455,0.137,-0.353,0.26
all,eff_norm,het_global_cv,12,-0.077,0.812,-0.002,0.995
all,eff_norm,knn_cv_mean,12,0.364,0.244,0.075,0.816
all,eff_norm,norm_entropy,12,-0.147,0.648,-0.194,0.546
all,eff_norm,min_pairwise,12,-0.428,0.165,-0.562,0.057
all,eff_norm,spc_err_strength,12,-0.21,0.513,-0.049,0.881
all,eff_norm,spc_err_nn_k1,12,-0.179,0.579,0.178,0.581
all,eff_norm,var_err_strength,12,-0.58,0.048,-0.381,0.222
all,eff_winrate,n,12,0.311,0.325,0.184,0.566
all,eff_winrate,d,12,-0.117,0.717,-0.226,0.481
all,eff_winrate,spread,12,-0.092,0.776,-0.133,0.681
all,eff_winrate,nn1_mean,12,-0.353,0.26,-0.508,0.092
all,eff_winrate,knn5_mean,12,-0.445,0.147,-0.489,0.106
all,eff_winrate,knn5_median,12,-0.325,0.303,-0.477,0.117
all,eff_winrate,het_global_cv,12,-0.099,0.76,-0.044,0.893
all,eff_winrate,knn_cv_mean,12,0.421,0.173,0.108,0.738
all,eff_winrate,norm_entropy,12,-0.035,0.913,-0.164,0.612
all,eff_winrate,min_pairwise,12,-0.441,0.152,-0.643,0.024
all,eff_winrate,spc_err_strength,12,-0.399,0.199,-0.378,0.226
all,eff_winrate,spc_err_nn_k1,12,-0.274,0.389,-0.133,0.681
all,eff_winrate,var_err_strength,12,-0.642,0.024,-0.671,0.017
all,eff_gapclosed,n,12,-0.189,0.556,-0.36,0.25
all,eff_gapclosed,d,12,0.151,0.639,0.468,0.125
all,eff_gapclosed,spread,12,0.112,0.729,0.405,0.192
all,eff_gapclosed,nn1_mean,12,0.056,0.863,0.777,0.003
all,eff_gapclosed,knn5_mean,12,-0.021,0.948,0.761,0.004
all,eff_gapclosed,knn5_median,12,0.014,0.966,0.752,0.005
all,eff_gapclosed,het_global_cv,12,-0.14,0.664,-0.024,0.94
all,eff_gapclosed,knn_cv_mean,12,0.028,0.931,-0.094,0.771
all,eff_gapclosed,norm_entropy,12,0.0,1.0,0.305,0.336
all,eff_gapclosed,min_pairwise,12,-0.086,0.791,0.718,0.009
all,eff_gapclosed,spc_err_strength,12,-0.035,0.914,-0.017,0.957
all,eff_gapclosed,spc_err_nn_k1,12,-0.242,0.449,-0.136,0.674
all,eff_gapclosed,var_err_strength,12,-0.07,0.829,0.227,0.477
all,eff_vs_teacher,n,12,0.07,0.829,0.282,0.375
all,eff_vs_teacher,d,12,-0.587,0.045,-0.418,0.177
all,eff_vs_teacher,spread,12,-0.455,0.137,-0.431,0.162
all,eff_vs_teacher,nn1_mean,12,-0.399,0.198,-0.277,0.383
all,eff_vs_teacher,knn5_mean,12,-0.308,0.33,-0.292,0.357
all,eff_vs_teacher,knn5_median,12,-0.343,0.275,-0.294,0.354
all,eff_vs_teacher,het_global_cv,12,0.063,0.846,0.962,0.0
all,eff_vs_teacher,knn_cv_mean,12,0.189,0.556,0.928,0.0
all,eff_vs_teacher,norm_entropy,12,-0.028,0.931,-0.331,0.293
all,eff_vs_teacher,min_pairwise,12,-0.339,0.281,-0.145,0.652
all,eff_vs_teacher,spc_err_strength,12,-0.566,0.055,-0.43,0.162
all,eff_vs_teacher,spc_err_nn_k1,12,-0.809,0.001,-0.308,0.331
all,eff_vs_teacher,var_err_strength,12,-0.49,0.106,-0.358,0.253
all,eff_beat_m100,n,12,0.144,0.656,-0.465,0.128
all,eff_beat_m100,d,12,0.38,0.224,-0.112,0.729
all,eff_beat_m100,spread,12,0.438,0.155,0.184,0.568
all,eff_beat_m100,nn1_mean,12,0.214,0.505,0.147,0.649
all,eff_beat_m100,knn5_mean,12,0.039,0.905,0.167,0.604
all,eff_beat_m100,knn5_median,12,0.172,0.594,0.194,0.545
all,eff_beat_m100,het_global_cv,12,-0.27,0.397,0.032,0.921
all,eff_beat_m100,knn_cv_mean,12,-0.116,0.721,0.166,0.607
all,eff_beat_m100,norm_entropy,12,0.06,0.854,0.302,0.34
all,eff_beat_m100,min_pairwise,12,0.182,0.572,0.132,0.683
all,eff_beat_m100,spc_err_strength,12,-0.105,0.746,-0.504,0.095
all,eff_beat_m100,spc_err_nn_k1,12,-0.221,0.491,-0.722,0.008
all,eff_beat_m100,var_err_strength,12,-0.448,0.145,-0.494,0.102
n>=100,eff_raw,n,10,-0.219,0.544,-0.452,0.189
n>=100,eff_raw,d,10,0.128,0.724,-0.208,0.564
n>=100,eff_raw,spread,10,0.328,0.354,0.259,0.47
n>=100,eff_raw,nn1_mean,10,0.28,0.434,0.187,0.606
n>=100,eff_raw,knn5_mean,10,0.255,0.476,0.22,0.541
n>=100,eff_raw,knn5_median,10,0.292,0.413,0.284,0.426
n>=100,eff_raw,het_global_cv,10,-0.34,0.336,0.054,0.883
n>=100,eff_raw,knn_cv_mean,10,0.316,0.374,0.181,0.618
n>=100,eff_raw,norm_entropy,10,0.243,0.498,0.282,0.43
n>=100,eff_raw,min_pairwise,10,-0.098,0.787,0.132,0.716
n>=100,eff_raw,spc_err_strength,10,-0.236,0.511,-0.587,0.075
n>=100,eff_raw,spc_err_nn_k1,10,-0.219,0.544,-0.719,0.019
n>=100,eff_raw,var_err_strength,10,-0.37,0.293,-0.772,0.009
n>=100,eff_raw_median,n,10,-0.219,0.544,-0.452,0.189
n>=100,eff_raw_median,d,10,0.128,0.724,-0.208,0.564
n>=100,eff_raw_median,spread,10,0.328,0.354,0.259,0.47
n>=100,eff_raw_median,nn1_mean,10,0.28,0.434,0.187,0.606
n>=100,eff_raw_median,knn5_mean,10,0.255,0.476,0.22,0.541
n>=100,eff_raw_median,knn5_median,10,0.292,0.413,0.284,0.426
n>=100,eff_raw_median,het_global_cv,10,-0.34,0.336,0.054,0.883
n>=100,eff_raw_median,knn_cv_mean,10,0.316,0.374,0.181,0.617
n>=100,eff_raw_median,norm_entropy,10,0.243,0.498,0.282,0.43
n>=100,eff_raw_median,min_pairwise,10,-0.098,0.787,0.132,0.716
n>=100,eff_raw_median,spc_err_strength,10,-0.236,0.511,-0.587,0.075
n>=100,eff_raw_median,spc_err_nn_k1,10,-0.219,0.544,-0.719,0.019
n>=100,eff_raw_median,var_err_strength,10,-0.37,0.293,-0.772,0.009
n>=100,eff_norm,n,10,0.043,0.907,0.106,0.772
n>=100,eff_norm,d,10,0.098,0.788,-0.007,0.985
n>=100,eff_norm,spread,10,0.006,0.987,-0.118,0.745
n>=100,eff_norm,nn1_mean,10,-0.164,0.65,-0.394,0.261
n>=100,eff_norm,knn5_mean,10,-0.286,0.424,-0.31,0.383
n>=100,eff_norm,knn5_median,10,-0.201,0.578,-0.315,0.375
n>=100,eff_norm,het_global_cv,10,-0.152,0.675,-0.052,0.886
n>=100,eff_norm,knn_cv_mean,10,0.407,0.243,0.047,0.897
n>=100,eff_norm,norm_entropy,10,-0.079,0.828,-0.126,0.729
n>=100,eff_norm,min_pairwise,10,-0.449,0.193,-0.832,0.003
n>=100,eff_norm,spc_err_strength,10,-0.139,0.701,0.008,0.983
n>=100,eff_norm,spc_err_nn_k1,10,-0.17,0.638,0.153,0.673
n>=100,eff_norm,var_err_strength,10,-0.394,0.26,-0.263,0.463
n>=100,eff_winrate,n,10,-0.058,0.873,-0.043,0.905
n>=100,eff_winrate,d,10,-0.056,0.879,-0.117,0.747
n>=100,eff_winrate,spread,10,0.009,0.98,0.008,0.982
n>=100,eff_winrate,nn1_mean,10,-0.064,0.86,-0.179,0.62
n>=100,eff_winrate,knn5_mean,10,-0.077,0.833,-0.049,0.893
n>=100,eff_winrate,knn5_median,10,-0.04,0.913,-0.034,0.926
n>=100,eff_winrate,het_global_cv,10,-0.132,0.716,-0.155,0.669
n>=100,eff_winrate,knn_cv_mean,10,0.475,0.165,0.052,0.887
n>=100,eff_winrate,norm_entropy,10,0.052,0.886,-0.026,0.944
n>=100,eff_winrate,min_pairwise,10,-0.438,0.206,-0.668,0.035
n>=100,eff_winrate,spc_err_strength,10,-0.373,0.288,-0.388,0.268
n>=100,eff_winrate,spc_err_nn_k1,10,-0.248,0.489,-0.233,0.517
n>=100,eff_winrate,var_err_strength,10,-0.489,0.151,-0.538,0.109
n>=100,eff_gapclosed,n,10,-0.012,0.973,-0.241,0.503
n>=100,eff_gapclosed,d,10,-0.092,0.801,-0.196,0.588
n>=100,eff_gapclosed,spread,10,-0.146,0.688,-0.188,0.604
n>=100,eff_gapclosed,nn1_mean,10,-0.219,0.544,-0.243,0.498
n>=100,eff_gapclosed,knn5_mean,10,-0.34,0.336,-0.273,0.446
n>=100,eff_gapclosed,knn5_median,10,-0.255,0.476,-0.239,0.506
n>=100,eff_gapclosed,het_global_cv,10,-0.158,0.663,0.146,0.688
n>=100,eff_gapclosed,knn_cv_mean,10,0.195,0.59,0.133,0.713
n>=100,eff_gapclosed,norm_entropy,10,-0.122,0.738,0.205,0.57
n>=100,eff_gapclosed,min_pairwise,10,-0.394,0.26,-0.133,0.714
n>=100,eff_gapclosed,spc_err_strength,10,-0.006,0.987,0.055,0.881
n>=100,eff_gapclosed,spc_err_nn_k1,10,-0.328,0.354,-0.109,0.764
n>=100,eff_gapclosed,var_err_strength,10,-0.261,0.467,-0.261,0.467
n>=100,eff_vs_teacher,n,10,-0.043,0.907,0.261,0.466
n>=100,eff_vs_teacher,d,10,-0.661,0.038,-0.636,0.048
n>=100,eff_vs_teacher,spread,10,-0.492,0.148,-0.595,0.07
n>=100,eff_vs_teacher,nn1_mean,10,-0.334,0.345,-0.624,0.054
n>=100,eff_vs_teacher,knn5_mean,10,-0.298,0.403,-0.615,0.058
n>=100,eff_vs_teacher,knn5_median,10,-0.31,0.383,-0.568,0.087
n>=100,eff_vs_teacher,het_global_cv,10,0.067,0.854,0.962,0.0
n>=100,eff_vs_teacher,knn_cv_mean,10,0.14,0.7,0.942,0.0
n>=100,eff_vs_teacher,norm_entropy,10,-0.091,0.802,-0.315,0.376
n>=100,eff_vs_teacher,min_pairwise,10,-0.265,0.46,-0.148,0.684
n>=100,eff_vs_teacher,spc_err_strength,10,-0.6,0.067,-0.452,0.19
n>=100,eff_vs_teacher,spc_err_nn_k1,10,-0.766,0.01,-0.323,0.362
n>=100,eff_vs_teacher,var_err_strength,10,-0.455,0.187,-0.385,0.272
n>=100,eff_beat_m100,n,10,-0.036,0.92,-0.452,0.189
n>=100,eff_beat_m100,d,10,0.544,0.104,-0.208,0.564
n>=100,eff_beat_m100,spread,10,0.535,0.111,0.259,0.47
n>=100,eff_beat_m100,nn1_mean,10,0.413,0.235,0.187,0.606
n>=100,eff_beat_m100,knn5_mean,10,0.316,0.374,0.22,0.541
n>=100,eff_beat_m100,knn5_median,10,0.377,0.283,0.284,0.426
n>=100,eff_beat_m100,het_global_cv,10,-0.158,0.663,0.054,0.883
n>=100,eff_beat_m100,knn_cv_mean,10,-0.061,0.868,0.181,0.618
n>=100,eff_beat_m100,norm_entropy,10,-0.012,0.973,0.282,0.43
n>=100,eff_beat_m100,min_pairwise,10,0.185,0.61,0.132,0.716
n>=100,eff_beat_m100,spc_err_strength,10,0.006,0.987,-0.587,0.075
n>=100,eff_beat_m100,spc_err_nn_k1,10,-0.061,0.868,-0.719,0.019
n>=100,eff_beat_m100,var_err_strength,10,-0.273,0.446,-0.772,0.009
